first_name,last_name,team,games_suspended,category,desc.,year,source
Clark,Haggans,WAS,3,Personal conduct,DUI arrest,2013,http://www.mercurynews.com/49ers/ci_21575932/san-francisco-49ers-linebacker-clark-haggans-suspended?source=rss_viewed
Merle,Hapes,NYG,83,Personal conduct,Gambling-related,1946,http://espn.go.com/blog/nflnation/tag/_/name/frank-filchock
Chris,Henry,CIN,8,Personal conduct,Multiple arrests,2007,http://sports.espn.go.com/nfl/news/story?id=2832015
Chris,Henry,CIN,4,Personal conduct,Mulitple arrests,2007,http://www.nfl.com/news/story/09000d5d80b58799/article/bengals-wr-henry-activated-after-serving-fourgame-suspension
Leroy,Hill,SEA,2,Personal conduct,Domestic violence,2013,http://www.nfl.com/news/story/0ap1000000132752/article/seattle-seahawks-leroy-hill-arrested-on-assault-charges
Brad,Hopkins,TEN,1,Personal conduct,Domestic violence,2005,http://sports.espn.go.com/nfl/columns/story?columnist=pasquarelli_len&id=2138940
Paul,Hornung,SEA,14,Personal conduct,Gambling,1963,http://espn.go.com/blog/nflnation/tag/_/name/frank-filchock
Vincent,Jackson,SD,3,Personal conduct,DUI arrest,2010,http://sports.espn.go.com/nfl/news/story?id=5345629
Dwayne,Jarrett,CAR,3,Personal conduct,DUI arrest,2012,http://www.nfl.com/news/story/09000d5d829ad13c/article/dwayne-jarrett-announces-retirement-from-football
Larry,Johnson,KC,1,Personal conduct,Simple assault for spitting drink in a woman's face,2008,http://sports.espn.go.com/nfl/news/story?id=3675871
"Terry ""Tank""",Johnson,BAL,8,Personal conduct,"Arrest, possession of weapon",2006,http://profootballtalk.nbcsports.com/2014/06/24/artist-formerly-known-as-tank-johnson-friends-with-roger-goodell/
"Adam ""Pacman""",Jones,ARI,20,Personal conduct,Multiple arrests,2007,http://sports.espn.go.com/nfl/news/story?id=2832015
Matt,Jones,JAX,3,Personal conduct,"Arrest, cocaine possession",2009,http://sports.espn.go.com/nfl/news/story?id=4207106
Alex,Karras,KC,14,Personal conduct,Gambling,1963,http://www.usatoday.com/story/sports/nfl/lions/2012/10/10/alex-karras-obituary-detroit-lions/1623419/
Mikel,Leshoure,DET,2,Personal conduct,"Arrest, Marijuana-related",2012,http://www.nfl.com/news/story/09000d5d829cc3b8/article/mikel-leshoure-suspended-two-games-by-nfl
Marshawn,Lynch,BUF,3,Personal conduct,Misdemeanour gun charge,2009,http://sports.espn.go.com/nfl/news/story?id=4054396
Ricky,Manning,CHI,1,Personal conduct,Felony arrest charges,2006,http://sports.espn.go.com/nfl/news/story?id=2672378
Brandon,Marshall,DEN,1,Personal conduct,Domestic violence,2012,http://www.nfl.com/news/story/09000d5d827969b7/article/report-brandon-marshall-accused-of-hitting-woman-outside-club
Tony,McDaniel,TB,1,Personal conduct,Domestic violence,2010,http://sports.espn.go.com/nfl/news/story?id=5622330
Brandon,McDonald,FREE,2,Personal conduct,,2013,http://www.usatoday.com/story/sports/nfl/2013/09/10/nfl-suspends-tom-zbikowski-brandon-mcdonald/2795979/
Bryant,McKinnie,MIN,4,Personal conduct,"Accused of disorderly conduct, resisting arrest",2008,http://sports.espn.go.com/nfl/news/story?id=3560135
Quinn,Ojinnaka,ATL,1,Personal conduct,Domestic violence,2010,http://sports.espn.go.com/nfl/news/story?id=5249193
Michael,Pittman,TB,3,Personal conduct,Domestic violence,2004,http://sports.espn.go.com/nfl/news/story?id=1826233
Terrelle,Pryor,OAK,5,Personal conduct,Improper gifts while in college,2011,http://espn.go.com/nfl/story/_/id/7040047/nfl-upholds-terrelle-pryor-5-game-ban-cites-integrity
Maurice,Purify,CIN,1,Personal conduct,Disorderly conduct,2010,http://espn.go.com/blog/afcnorth/post/_/id/16670/bengals-wr-purify-suspended-one-game
Dominic,Rhodes,CAR,1,Personal conduct,Reckless driving,2007,http://sports.espn.go.com/nfl/news/story?id=2925395
Ray,Rice,BAL,2,Personal conduct,Domestic violence,2014,http://espn.go.com/nfl/story/_/id/11275300/nfl-vp-adolpho-birch-disagrees-league-two-game-suspension-ray-rice-baltimore-ravens-was-too-light
Victor,Riley,KC,1,Personal conduct,Domestic violence,2002,http://a.espncdn.com/nfl/news/2003/0703/1576427.html
Derrick,Rodgers,MIA,1,Personal conduct,Domestic violence,2003,http://articles.sun-sentinel.com/2002-07-19/sports/0207190115_1_derrick-rodgers-kareff-rodgers-william-peguero
